Index,claims.sa,claims.nsa,Jobs,Welfare...Unemployment
2004/01/10,354000,677897,6.06686228044856,-7.57415249197442
2004/01/17,362000,490763,-3.55877323692429,-25.2378856703186
2004/01/24,353000,382262,-6.1844087085386,-17.4016189094181
2004/01/31,376000,406298,-7.93504418361625,-18.8153521234654
2004/02/07,380000,433234,-13.3106795812006,-24.1040853930686
2004/02/14,356000,341634,-10.8125365383849,-19.4090962809352
2004/02/21,359000,328171,-7.5643933661142,-15.0891071286019
2004/02/28,348000,342140,-6.06625028239856,-19.2691180565821
2004/03/06,344000,339007,-4.44310715548376,-15.1991289378494
2004/03/13,338000,312067,-14.9409985807231,-27.0091931721575
2004/03/20,346000,304462,-11.9388901164671,-18.4442573885625
2004/03/27,340000,296776,-15.9367816718679,-27.2543216766108
2004/04/03,335000,304249,-6.43467312846403,-17.314385833469
2004/04/10,355000,350739,-8.5550512139116,-19.8994882182636
2004/04/17,364000,334965,-3.5504292452533,-17.2345905820009
2004/04/24,339000,313686,-7.67080737395582,-23.9446929798771
2004/05/01,324000,283236,-5.79118545940338,-16.4047953596459
2004/05/08,329000,292754,-7.41051904783312,-16.9566665257633
2004/05/15,349000,297061,-7.6548526316709,-17.8835376760474
2004/05/22,342000,293974,-10.3991862155337,-17.6854088276519
2004/05/29,337000,304067,-7.89351977323274,-18.1122799850258
2004/06/05,355000,308229,-9.8842784882071,-12.4533115099683
2004/06/12,339000,313930,-6.62503721357998,-13.7943430702832
2004/06/19,354000,322481,-9.74079587604728,-11.1353745651827
2004/06/26,348000,318746,-9.98155457742545,-19.226406146431
2004/07/03,326000,349920,-10.978705945938,-22.0223817355114
2004/07/10,345000,444531,-5.35085727950576,-21.9433572800666
2004/07/17,355000,394372,-8.59800870717465,-18.8643328667362
2004/07/24,348000,313225,-7.50837847541663,-26.3496830654216
2004/07/31,341000,282128,-7.90241212184859,-29.5237114325052
2004/08/07,336000,291611,-9.29644574414418,-17.1263115136646
2004/08/14,332000,262936,-9.83333652229195,-19.5860543023725
2004/08/21,343000,274433,-10.6559415557124,-17.4743684666804
2004/08/28,352000,276308,-9.06809131457319,-14.0656594070084
2004/09/04,326000,274930,-11.7659553357323,-16.7998074711199
2004/09/11,331000,250568,-10.3209622140706,-19.9625269856487
2004/09/18,341000,275846,-11.8759691346193,-13.2681036050655
2004/09/25,351000,282729,-12.4102814750447,-13.5730202985214
2004/10/02,335000,279591,-12.5160224074332,-12.5922227143814
2004/10/09,338000,338711,-9.4789061962928,-13.0399965556723
2004/10/16,327000,279846,-11.4417899832543,-19.6306275363845
2004/10/23,338000,317573,-10.5739766332263,-16.9511533118738
2004/10/30,332000,305546,-10.7061632699969,-17.9859647731661
2004/11/06,330000,351404,-13.5526356257149,-16.4493476950165
2004/11/13,337000,311901,-16.1133937102677,-25.3413020248471
2004/11/20,313000,355954,-11.5207540104002,-20.3592359941751
2004/11/27,335000,320690,-17.9281143422896,-27.8057414348555
2004/12/04,343000,473570,-7.04976039700798,-14.9665325998096
2004/12/11,316000,370604,-14.3142635784845,-29.5558950782382
2004/12/18,322000,374749,-14.5893669885249,-23.024862821398
2004/12/25,320000,446699,-16.8644704235232,-25.4938306079863
2005/01/01,356000,540927,-4.568145238626,-15.3913698718477
2005/01/08,369000,693776,0.06686228044856,-18.5741524919744
2005/01/15,332000,467862,-9.55877323692429,-32.2378856703186
2005/01/22,329000,360583,-13.1844087085386,-26.4016189094181
2005/01/29,331000,364704,-12.9350441836163,-25.8153521234654
2005/02/05,307000,347391,-16.3106795812006,-17.1040853930686
2005/02/12,308000,309290,-14.8125365383849,-21.4090962809352
2005/02/19,318000,303814,-11.5643933661142,-19.0891071286019
2005/02/26,314000,290776,-11.0662502823986,-24.2691180565821
2005/03/05,333000,332067,-15.4431071554838,-18.1991289378494
2005/03/12,324000,307061,-15.9409985807231,-24.0091931721575
2005/03/19,329000,290719,-14.9388901164671,-20.4442573885625
2005/03/26,342000,291378,-14.9367816718679,-22.2543216766108
2005/04/02,335000,294994,-15.434673128464,-19.314385833469
2005/04/09,323000,339709,-17.5550512139116,-31.8994882182636
2005/04/16,307000,285657,-10.5504292452533,-19.2345905820009
2005/04/23,317000,299891,-15.6708073739558,-25.9446929798771
2005/04/30,334000,290824,-14.7911854594034,-16.4047953596459
2005/05/07,327000,297347,-16.4105190478331,-18.9566665257633
2005/05/14,321000,275524,-13.6548526316709,-17.8835376760474
2005/05/21,320000,276761,-10.3991862155337,-17.6854088276519
2005/05/28,340000,304306,-14.8935197732327,-20.1122799850258
2005/06/04,338000,289914,-15.8842784882071,-19.4533115099683
2005/06/11,333000,315938,-12.62503721358,-20.7943430702832
2005/06/18,321000,289831,-13.7407958760473,-18.1353745651827
2005/06/25,311000,286681,-14.9815545774254,-19.226406146431
2005/07/02,327000,327268,-14.978705945938,-22.0223817355114
2005/07/09,338000,427323,-15.3508572795058,-25.9433572800666
2005/07/16,323000,374665,-14.5980087071746,-25.8643328667362
2005/07/23,318000,295026,-14.5083784754166,-28.3496830654216
2005/07/30,316000,261906,-16.9024121218486,-33.5237114325052
2005/08/06,311000,269746,-15.2964457441442,-21.1263115136646
2005/08/13,319000,257151,-14.833336522292,-21.5860543023725
2005/08/20,315000,252016,-15.6559415557124,-19.4743684666804
2005/08/27,318000,251642,-16.0680913145732,-18.0656594070084
2005/09/03,326000,271613,-17.7659553357323,-19.7998074711199
2005/09/10,422000,322387,-16.3209622140706,-12.9625269856487
2005/09/17,424000,346204,-12.8759691346193,-13.2681036050655
2005/09/24,359000,292435,-15.4102814750447,-20.5730202985214
2005/10/01,384000,313847,-15.5160224074332,-14.5922227143814
2005/10/08,383000,380093,-15.4789061962928,-18.0399965556723
2005/10/15,348000,303158,-16.4417899832543,-16.6306275363845
2005/10/22,324000,304733,-15.5739766332263,-19.9511533118738
2005/10/29,322000,294376,-15.7061632699969,-15.9859647731661
2005/11/05,325000,340491,-11.5526356257149,-11.4493476950165
2005/11/12,309000,283564,-17.1133937102677,-20.3413020248471
2005/11/19,324000,368859,-20.5207540104002,-20.3592359941751
2005/11/26,311000,290730,-26.9281143422896,-30.8057414348555
2005/12/03,321000,444600,-14.049760397008,-16.9665325998096
2005/12/10,327000,391961,-23.3142635784845,-32.5558950782382
2005/12/17,312000,359108,-19.5893669885249,-28.024862821398
2005/12/24,320000,433397,-20.8644704235232,-27.4938306079863
2005/12/31,302000,475889,-10.568145238626,-13.3913698718477
2006/01/07,326000,555114,-10.9331377195514,-18.5741524919744
2006/01/14,285000,439873,-17.5587732369243,-30.2378856703186
2006/01/21,290000,317926,-19.1844087085386,-26.4016189094181
2006/01/28,282000,318805,-16.9350441836163,-27.8153521234654
2006/02/04,289000,321527,-25.3106795812006,-28.1040853930686
2006/02/11,298000,310078,-19.8125365383849,-28.4090962809352
2006/02/18,283000,269571,-16.5643933661142,-28.0891071286019
2006/02/25,293000,272478,-17.0662502823986,-28.2691180565821
2006/03/04,302000,301867,-15.4431071554838,-27.1991289378494
2006/03/11,307000,294764,-20.9409985807231,-29.0091931721575
2006/03/18,303000,269237,-20.9388901164671,-27.4442573885625
2006/03/25,295000,265370,-14.9367816718679,-22.2543216766108
2006/04/01,291000,253985,-20.434673128464,-24.314385833469
2006/04/08,299000,314696,-16.5550512139116,-26.8994882182636
2006/04/15,299000,268472,-20.5504292452533,-26.2345905820009
2006/04/22,308000,291349,-15.6708073739558,-25.9446929798771
2006/04/29,321000,279715,-14.7911854594034,-23.4047953596459
2006/05/06,347000,317239,-16.4105190478331,-20.9566665257633
2006/05/13,335000,288972,-16.6548526316709,-19.8835376760474
2006/05/20,319000,277168,-15.3991862155337,-19.6854088276519
2006/05/27,330000,292714,-17.8935197732327,-20.1122799850258
2006/06/03,307000,260263,-16.8842784882071,-19.4533115099683
2006/06/10,298000,285892,-18.62503721358,-22.7943430702832
2006/06/17,308000,277441,-18.7407958760473,-23.1353745651827
2006/06/24,309000,287503,-15.9815545774254,-23.226406146431
2006/07/01,316000,304638,-17.978705945938,-22.0223817355114
2006/07/08,343000,418363,-20.3508572795058,-23.9433572800666
2006/07/15,318000,377115,-16.5980087071746,-25.8643328667362
2006/07/22,306000,288875,-16.5083784754166,-28.3496830654216
2006/07/29,311000,259974,-15.9024121218486,-33.5237114325052
2006/08/05,318000,275430,-16.2964457441442,-21.1263115136646
2006/08/12,310000,256259,-15.833336522292,-19.5860543023725
2006/08/19,315000,252357,-13.6559415557124,-17.4743684666804
2006/08/26,314000,251275,-16.0680913145732,-16.0656594070084
2006/09/02,315000,259539,-16.7659553357323,-19.7998074711199
2006/09/09,314000,240231,-16.3209622140706,-17.9625269856487
2006/09/16,324000,267036,-14.8759691346193,-18.2681036050655
2006/09/23,319000,261396,-15.4102814750447,-16.5730202985214
2006/09/30,309000,249288,-16.5160224074332,-14.5922227143814
2006/10/07,316000,307646,-15.4789061962928,-15.0399965556723
2006/10/14,305000,271863,-16.4417899832543,-19.6306275363845
2006/10/21,313000,291372,-15.5739766332263,-14.9511533118738
2006/10/28,328000,301079,-16.7061632699969,-17.9859647731661
2006/11/04,319000,326711,-14.5526356257149,-13.4493476950165
2006/11/11,311000,286151,-16.1133937102677,-20.3413020248471
2006/11/18,326000,367690,-17.5207540104002,-17.3592359941751
2006/11/25,349000,323509,-24.9281143422896,-23.8057414348555
2006/12/02,327000,448898,-13.049760397008,-11.9665325998096
2006/12/09,311000,384123,-20.3142635784845,-25.5558950782382
2006/12/16,318000,361672,-14.5893669885249,-21.024862821398
2006/12/23,323000,425357,-17.8644704235232,-23.4938306079863
2006/12/30,341000,499979,-12.568145238626,-15.3913698718477
2007/01/06,332000,506059,-11.9331377195514,-12.5741524919744
2007/01/13,296000,506709,-14.5587732369243,-21.2378856703186
2007/01/20,336000,367583,-16.1844087085386,-21.4016189094181
2007/01/27,310000,359959,-13.9350441836163,-16.8153521234654
2007/02/03,309000,339018,-25.3106795812006,-21.1040853930686
2007/02/10,337000,363018,-16.8125365383849,-19.4090962809352
2007/02/17,320000,305945,-20.5643933661142,-21.0891071286019
2007/02/24,318000,299000,-17.0662502823986,-21.2691180565821
2007/03/03,319000,320194,-16.4431071554838,-22.1991289378494
2007/03/10,308000,298927,-20.9409985807231,-22.0091931721575
2007/03/17,307000,277187,-20.9388901164671,-18.4442573885625
2007/03/24,302000,273432,-14.9367816718679,-15.2543216766108
2007/03/31,305000,268218,-18.434673128464,-17.314385833469
2007/04/07,332000,328266,-20.5550512139116,-21.8994882182636
2007/04/14,326000,317917,-19.5504292452533,-17.2345905820009
2007/04/21,322000,303984,-18.6708073739558,-20.9446929798771
2007/04/28,304000,267672,-16.7911854594034,-16.4047953596459
2007/05/05,302000,274801,-16.4105190478331,-13.9566665257633
2007/05/12,297000,258516,-16.6548526316709,-17.8835376760474
2007/05/19,311000,270446,-18.3991862155337,-17.6854088276519
2007/05/26,310000,273397,-19.8935197732327,-18.1122799850258
2007/06/02,314000,263527,-18.8842784882071,-17.4533115099683
2007/06/09,313000,302368,-17.62503721358,-15.7943430702832
2007/06/16,321000,290951,-16.7407958760473,-18.1353745651827
2007/06/23,314000,292583,-14.9815545774254,-21.226406146431
2007/06/30,318000,300348,-16.978705945938,-22.0223817355114
2007/07/07,322000,417554,-17.3508572795058,-21.9433572800666
2007/07/14,319000,383839,-14.5980087071746,-21.8643328667362
2007/07/21,310000,298366,-19.5083784754166,-26.3496830654216
2007/07/28,305000,257426,-16.9024121218486,-33.5237114325052
2007/08/04,314000,270563,-18.2964457441442,-19.1263115136646
2007/08/11,316000,266420,-15.833336522292,-19.5860543023725
2007/08/18,322000,257573,-21.6559415557124,-17.4743684666804
2007/08/25,330000,266179,-16.0680913145732,-16.0656594070084
2007/09/01,315000,257454,-16.7659553357323,-14.7998074711199
2007/09/08,323000,245526,-19.3209622140706,-17.9625269856487
2007/09/15,315000,261971,-14.8759691346193,-18.2681036050655
2007/09/22,302000,247643,-18.4102814750447,-16.5730202985214
2007/09/29,317000,255431,-16.5160224074332,-17.5922227143814
2007/10/06,317000,298317,-14.4789061962928,-13.0399965556723
2007/10/13,336000,306519,-17.4417899832543,-14.6306275363845
2007/10/20,336000,307675,-13.5739766332263,-12.9511533118738
2007/10/27,328000,303357,-13.7061632699969,-17.9859647731661
2007/11/03,327000,325831,-16.5526356257149,-13.4493476950165
2007/11/10,332000,351760,-11.1133937102677,-15.3413020248471
2007/11/17,333000,323124,-14.5207540104002,-20.3592359941751
2007/11/24,353000,324047,-12.9281143422896,-14.8057414348555
2007/12/01,344000,462902,4.95023960299202,3.03346740019036
2007/12/08,331000,423130,-4.31426357848448,-9.55589507823823
2007/12/15,348000,393042,-14.5893669885249,-21.024862821398
2007/12/22,355000,456280,-10.8644704235232,-18.4938306079863
2007/12/29,356000,507908,-15.568145238626,-20.3913698718477
2008/01/05,350000,522700,-16.9331377195514,-16.5741524919744
2008/01/12,317000,547943,-14.5587732369243,-18.2378856703186
2008/01/19,318000,415397,-13.1844087085386,-15.4016189094181
2008/01/26,368000,369498,-12.9350441836163,-18.8153521234654
2008/02/02,351000,380234,-21.3106795812006,-15.1040853930686
2008/02/09,341000,377595,-13.8125365383849,-19.4090962809352
2008/02/16,339000,325886,-16.5643933661142,-17.0891071286019
2008/02/23,349000,330013,-14.0662502823986,-17.2691180565821
2008/03/01,343000,345287,-13.4431071554838,-18.1991289378494
2008/03/08,347000,341364,-15.9409985807231,-20.0091931721575
2008/03/15,365000,335909,-14.9388901164671,-16.4442573885625
2008/03/22,367000,316208,-15.9367816718679,-11.2543216766108
2008/03/29,382000,342189,-14.434673128464,-10.314385833469
2008/04/05,355000,357209,-11.5550512139116,-10.8994882182636
2008/04/12,365000,370960,-13.5504292452533,-12.2345905820009
2008/04/19,352000,328334,-9.67080737395582,-11.9446929798771
2008/04/26,374000,337854,-10.7911854594034,-12.4047953596459
2008/05/03,376000,335533,-7.41051904783312,-9.9566665257633
2008/05/10,366000,325479,-11.6548526316709,-10.8835376760474
2008/05/17,369000,319817,-12.3991862155337,-12.6854088276519
2008/05/24,372000,326627,-11.8935197732327,-11.1122799850258
2008/05/31,365000,300989,-9.8842784882071,-14.4533115099683
2008/06/07,385000,373033,-6.62503721357998,-11.7943430702832
2008/06/14,381000,349254,-10.7407958760473,-14.1353745651827
2008/06/21,386000,358158,-9.98155457742545,-10.226406146431
2008/06/28,395000,368544,-4.978705945938,-13.0223817355114
2008/07/05,373000,401672,-9.35085727950576,-12.9433572800666
2008/07/12,386000,476071,-4.59800870717465,-7.86433286673618
2008/07/19,403000,403607,-8.50837847541663,-15.3496830654216
2008/07/26,433000,374182,-3.90241212184859,-13.5237114325052
2008/08/02,447000,381887,-7.29644574414419,-5.12631151366463
2008/08/09,430000,372807,-6.83333652229195,-1.58605430237247
2008/08/16,425000,342164,-9.6559415557124,-4.47436846668042
2008/08/23,424000,344241,-7.06809131457319,-0.06565940700838
2008/08/30,443000,360485,-5.76595533573227,-1.79980747111993
2008/09/06,445000,336131,-4.32096221407063,3.03747301435134
2008/09/13,454000,381720,1.1240308653807,2.73189639493451
2008/09/20,484000,397610,1.58971852495529,4.42697970147856
2008/09/27,483000,392121,-1.51602240743323,0.40777728561859
2008/10/04,481000,426786,-3.47890619629279,4.96000344432768
2008/10/11,462000,454100,-1.44178998325431,5.36937246361553
2008/10/18,481000,416114,-3.57397663322625,12.0488466881262
2008/10/25,481000,449429,-3.70616326999685,14.0140352268339
2008/11/01,490000,466373,-4.55263562571491,8.55065230498354
2008/11/08,510000,539812,-2.11339371026768,9.6586979751529
2008/11/15,542000,513047,0.4792459895998,13.6407640058249
2008/11/22,536000,609128,8.07188565771039,38.1942585651445
2008/11/29,532000,537230,-17.049760397008,15.0334674001904
2008/12/06,563000,760481,-1.31426357848448,31.4441049217618
2008/12/13,560000,629867,-1.5893669885249,26.975137178602
2008/12/20,584000,719691,-1.86447042352323,22.5061693920137
2008/12/27,524000,717000,-12.568145238626,18.6086301281523
2009/01/03,507000,731958,-13.9331377195514,31.4258475080256
2009/01/10,543000,956791,2.44122676307571,49.7621143296814
2009/01/17,582000,763987,3.8155912914614,39.5983810905819
2009/01/24,586000,620143,3.06495581638375,33.1846478765346
2009/01/31,638000,682176,-2.31067958120062,41.8959146069314
2009/02/07,625000,710152,6.1874634616151,46.5909037190648
2009/02/14,635000,619951,2.43560663388581,41.910892871398
2009/02/21,641000,605668,2.93374971760144,50.7308819434179
2009/02/28,644000,645827,-1.44310715548376,47.8008710621506
2009/03/07,655000,652635,-0.94099858072313,45.9908068278425
2009/03/14,640000,601192,2.06110988353289,44.5557426114375
2009/03/21,656000,590067,1.06321832813207,43.7456783233892
2009/03/28,659000,599299,-1.43467312846403,36.685614166531
2009/04/04,650000,623279,-2.5550512139116,43.1005117817364
2009/04/11,604000,610522,-17.5504292452533,37.7654094179991
2009/04/18,642000,596564,-4.67080737395582,40.0553070201229
2009/04/25,627000,583457,-2.79118545940338,37.5952046403541
2009/05/02,613000,536648,-5.41051904783312,36.0433334742367
2009/05/09,629000,570412,-2.6548526316709,37.1164623239526
2009/05/16,624000,540925,-4.39918621553365,41.3145911723481
2009/05/23,612000,538311,-5.89351977323274,42.8877200149742
2009/05/30,617000,500380,-4.88427848820709,41.5466884900317
2009/06/06,599000,581092,-0.62503721357998,43.2056569297168
2009/06/13,602000,562449,-2.74079587604728,35.8646254348173
2009/06/20,618000,572425,-3.98155457742545,39.773593853569
2009/06/27,601000,563387,-5.978705945938,38.9776182644886
2009/07/04,579000,585963,-3.35085727950576,35.0566427199334
2009/07/11,547000,677038,-0.59800870717465,47.1356671332638
2009/07/18,565000,590730,-0.50837847541663,41.6503169345784
2009/07/25,581000,516351,-3.90241212184859,32.4762885674948
2009/08/01,555000,470988,0.70355425585581,39.8736884863354
2009/08/08,551000,486586,-2.83333652229195,53.4139456976275
2009/08/15,565000,461780,0.3440584442876,48.5256315333196
2009/08/22,565000,460998,-1.06809131457319,42.9343405929916
2009/08/29,564000,460525,0.23404466426773,51.2001925288801
2009/09/05,559000,470079,-0.32096221407063,48.0374730143513
2009/09/12,548000,414557,-6.8759691346193,43.7318963949345
2009/09/19,537000,441311,-5.41028147504471,45.4269797014786
2009/09/26,548000,449620,-1.51602240743323,50.4077772856186
2009/10/03,535000,456233,-3.47890619629279,43.9600034443277
2009/10/10,515000,513852,0.55821001674569,55.3693724636155
2009/10/17,538000,464985,-1.57397663322625,44.0488466881262
2009/10/24,531000,499374,-0.70616326999685,46.0140352268339
2009/10/31,523000,487714,-1.55263562571491,42.5506523049835
2009/11/07,511000,537230,-1.11339371026768,63.6586979751529
2009/11/14,513000,479350,-3.5207540104002,57.6407640058249
2009/11/21,486000,547022,2.07188565771039,42.1942585651445
2009/11/28,477000,462090,-16.049760397008,31.0334674001904
2009/12/05,491000,673097,-4.31426357848448,36.4441049217618
2009/12/12,496000,561655,-5.5893669885249,33.975137178602
2009/12/19,477000,571378,-2.86447042352323,38.5061693920137
2009/12/26,465000,561852,-12.568145238626,38.6086301281523
2010/01/02,462000,651215,-17.9331377195514,35.4258475080256
2010/01/09,468000,825891,-6.55877323692429,40.7621143296814
2010/01/16,501000,659173,0.8155912914614,41.5983810905819
2010/01/23,470000,507651,-2.93504418361625,45.1846478765346
2010/01/30,501000,538617,41.6893204187994,34.8959146069314
2010/02/06,452000,512463,8.1874634616151,39.5909037190648
2010/02/13,487000,482078,0.43560663388581,32.910892871398
2010/02/20,485000,458160,-2.06625028239856,39.7308819434179
2010/02/27,475000,474662,0.55689284451624,40.8008710621506
2010/03/06,462000,462679,-0.94099858072313,61.9908068278425
2010/03/13,464000,439061,2.06110988353289,44.5557426114375
2010/03/20,460000,413067,1.06321832813207,45.7456783233892
2010/03/27,452000,412710,4.56532687153597,41.685614166531
2010/04/03,472000,421130,6.4449487860884,59.1005117817364
2010/04/10,477000,514136,21.4495707547467,41.7654094179991
2010/04/17,469000,436814,7.32919262604418,56.0553070201229
2010/04/24,457000,429196,6.20881454059662,37.5952046403541
2010/05/01,460000,399350,6.58948095216688,33.0433334742367
2010/05/08,455000,414327,6.3451473683291,37.1164623239526
2010/05/15,477000,414572,6.60081378446635,32.3145911723481
2010/05/22,467000,410778,9.10648022676726,31.8877200149742
2010/05/29,464000,418873,9.1157215117929,32.5466884900317
2010/06/05,464000,398864,4.37496278642002,34.2056569297168
2010/06/12,474000,448305,7.25920412395272,38.8646254348173
2010/06/19,463000,427080,5.01844542257455,44.773593853569
2010/06/26,472000,444712,6.021294054062,61.9776182644886
2010/07/03,460000,470366,4.64914272049424,69.0566427199334
2010/07/10,440000,515991,-2.59800870717465,49.1356671332638
2010/07/17,466000,502065,2.49162152458337,82.6503169345784
2010/07/24,457000,413679,1.09758787815141,111.476288567495
2010/07/31,474000,402140,1.70355425585581,44.8736884863354
2010/08/07,478000,425471,2.16666347770805,30.4139456976275
2010/08/14,488000,405484,7.3440584442876,30.5256315333196
2010/08/21,469000,384955,1.93190868542681,24.9343405929916
2010/08/28,468000,383135,5.23404466426773,26.2001925288801
2010/09/04,455000,381863,3.67903778592937,23.0374730143513
2010/09/11,450000,341791,-2.8759691346193,22.7318963949345
2010/09/18,463000,382341,2.58971852495529,24.4269797014786
2010/09/25,450000,372551,1.48397759256677,16.4077772856186
2010/10/02,449000,373681,-0.47890619629279,18.9600034443277
2010/10/09,463000,462667,0.55821001674569,19.3693724636155
2010/10/16,452000,394016,-1.57397663322625,19.0488466881262
2010/10/23,435000,408489,-0.70616326999685,21.0140352268339
2010/10/30,454000,421097,0.44736437428509,15.5506523049835
2010/11/06,436000,452657,1.88660628973232,20.6586979751529
2010/11/13,441000,409548,5.4792459895998,20.6407640058249
2010/11/20,416000,464817,11.0718856577104,31.1942585651445
2010/11/27,439000,412922,0.95023960299202,10.0334674001904
2010/12/04,425000,585711,6.68573642151552,45.4441049217618
2010/12/11,427000,491776,9.4106330114751,48.975137178602
2010/12/18,423000,495548,10.1355295764768,51.5061693920137
2010/12/25,404000,525710,7.431854761374,25.6086301281523
2011/01/01,418000,578904,-1.93313771955144,8.42584750802558
2011/01/08,437000,773499,-3.55877323692429,38.7621143296814
2011/01/15,415000,549688,-4.1844087085386,28.5983810905819
2011/01/22,443000,485950,-2.93504418361625,33.1846478765346
2011/01/29,424000,464775,-5.31067958120062,32.8959146069314
2011/02/05,391000,440706,-5.8125365383849,26.5909037190648
2011/02/12,420000,424400,2.43560663388581,30.9108928713981
2011/02/19,384000,380985,-3.06625028239856,25.7308819434179
2011/02/26,375000,353797,-1.44310715548376,18.8008710621506
2011/03/05,405000,407299,23.0590014192769,20.9908068278425
2011/03/12,390000,371721,12.0611098835329,19.5557426114375
2011/03/19,394000,354457,7.06321832813207,16.7456783233892
2011/03/26,392000,357457,4.56532687153597,18.685614166531
2011/04/02,385000,353817,3.4449487860884,18.1005117817364
2011/04/09,416000,448029,-3.5504292452533,21.7654094179991
2011/04/16,404000,381834,-2.67080737395582,22.0553070201229
2011/04/23,431000,387867,-7.79118545940338,19.5952046403541
2011/04/30,478000,415974,-4.41051904783312,22.0433334742367
2011/05/07,438000,397737,-4.6548526316709,21.1164623239526
2011/05/14,414000,361573,-2.39918621553365,23.3145911723481
2011/05/21,429000,376252,2.10648022676726,24.8877200149742
2011/05/28,426000,381497,0.11572151179291,21.5466884900317
2011/06/04,430000,366816,-8.62503721357998,20.2056569297168
2011/06/11,420000,400608,-1.74079587604728,22.8646254348173
2011/06/18,429000,394286,-1.98155457742545,21.773593853569
2011/06/25,432000,406633,-0.978705945938,13.9776182644886
2011/07/02,427000,425640,-0.35085727950576,17.0566427199334
